"Event H-ID","Character(s) Present H-ID",rec_Title
322,67|59|97|95|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
325,45|131,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""|Warriors of newly formed Pakistan - Unnamed Alias: None
in ""Qazi da Kot"""
326,45|47|44,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""|Butcher - Karima Alias: None
in ""Qazi da Kot""|Musali - Hashmat Alias: None
in ""Qazi da Kot"""
327,45,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot"""
328,45,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot"""
330,56|45,"Muslim group that took the village's women - Gondal Jat boys Alias: None
in ""Qazi da Kot""|Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot"""
331,45,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot"""
332,45,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot"""
333,45|48|89,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""|Kaur - Anup Alias: None
in ""Qazi da Kot""|Husband of Anup - Granthi Alias: Sardar
in ""Qazi da Kot"""
334,89|131,"Husband of Anup - Granthi Alias: Sardar
in ""Qazi da Kot""|Warriors of newly formed Pakistan - Unnamed Alias: None
in ""Qazi da Kot"""
335,89|45|48,"Husband of Anup - Granthi Alias: Sardar
in ""Qazi da Kot""|Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""|Kaur - Anup Alias: None
in ""Qazi da Kot"""
336,89|45|48,"Husband of Anup - Granthi Alias: Sardar
in ""Qazi da Kot""|Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""|Kaur - Anup Alias: None
in ""Qazi da Kot"""
337,45|48,"Sarwar - Ghulam Alias: Hatho
in ""Qazi da Kot""|Kaur - Anup Alias: None
in ""Qazi da Kot"""
347,348|59,"The young girl who was wildly sensual and self-posessed - Young Girl Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
350,59|348,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|The young girl who was wildly sensual and self-posessed - Young Girl Alias: None
in ""Separated from the Flock"""
352,59|348,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|The young girl who was wildly sensual and self-posessed - Young Girl Alias: None
in ""Separated from the Flock"""
353,348,"The young girl who was wildly sensual and self-posessed - Young Girl Alias: None
in ""Separated from the Flock"""
354,59,"Narrator - Unnamed Alias: None
in ""Separated from the Flock"""
356,67|59|95|98|97,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock"""
357,67|59|98|95|97,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock"""
358,67|59|95|97|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
359,67|59|97|95|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
362,67|59|97|95|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
363,67|59|97|95|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
365,67|59|97|95|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
366,67|59|95|97|98,"Ali - Gulam Alias: None
in ""Separated from the Flock""|Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Friend of Narrator - Nawab Alias: None
in ""Separated from the Flock""|Driver of Nawab - Unnamed Alias: None
in ""Separated from the Flock""|Manager of Nawab's factory - Salimullah Alias: None
in ""Separated from the Flock"""
373,178|177,"Kaur - Kulwant Alias: Jani
in ""Cold Meat""|Singh - Ishwar Alias: Jani
in ""Cold Meat"""
378,178|177,"Kaur - Kulwant Alias: Jani
in ""Cold Meat""|Singh - Ishwar Alias: Jani
in ""Cold Meat"""
388,178|177,"Kaur - Kulwant Alias: Jani
in ""Cold Meat""|Singh - Ishwar Alias: Jani
in ""Cold Meat"""
389,178|177,"Kaur - Kulwant Alias: Jani
in ""Cold Meat""|Singh - Ishwar Alias: Jani
in ""Cold Meat"""
392,178|177,"Kaur - Kulwant Alias: Jani
in ""Cold Meat""|Singh - Ishwar Alias: Jani
in ""Cold Meat"""
395,177|180|179,"Singh - Ishwar Alias: Jani
in ""Cold Meat""|Six Men whom Ishwar Singh kills - Unnamed Alias: None
in ""Cold Meat""|Woman whom Ishwar Singh rapes - Unnamed Alias: None
in ""Cold Meat"""
404,178|177,"Kaur - Kulwant Alias: Jani
in ""Cold Meat""|Singh - Ishwar Alias: Jani
in ""Cold Meat"""
408,177|181,"Singh - Ishwar Alias: Jani
in ""Cold Meat""|People who loot the city - Unnamed Alias: None
in ""Cold Meat"""
410,178|177,"Kaur - Kulwant Alias: Jani
in ""Cold Meat""|Singh - Ishwar Alias: Jani
in ""Cold Meat"""
412,177|178,"Singh - Ishwar Alias: Jani
in ""Cold Meat""|Kaur - Kulwant Alias: Jani
in ""Cold Meat"""
414,177|180,"Singh - Ishwar Alias: Jani
in ""Cold Meat""|Six Men whom Ishwar Singh kills - Unnamed Alias: None
in ""Cold Meat"""
415,177|179,"Singh - Ishwar Alias: Jani
in ""Cold Meat""|Woman whom Ishwar Singh rapes - Unnamed Alias: None
in ""Cold Meat"""
420,178|177,"Kaur - Kulwant Alias: Jani
in ""Cold Meat""|Singh - Ishwar Alias: Jani
in ""Cold Meat"""
421,177|179,"Singh - Ishwar Alias: Jani
in ""Cold Meat""|Woman whom Ishwar Singh rapes - Unnamed Alias: None
in ""Cold Meat"""
422,178|177,"Kaur - Kulwant Alias: Jani
in ""Cold Meat""|Singh - Ishwar Alias: Jani
in ""Cold Meat"""
423,177|92,"Singh - Ishwar Alias: Jani
in ""Cold Meat""|Parents of Gulam Ali - Unnamed Alias: None
in ""Separated from the Flock"""
424,178|177,"Kaur - Kulwant Alias: Jani
in ""Cold Meat""|Singh - Ishwar Alias: Jani
in ""Cold Meat"""
425,177|179,"Singh - Ishwar Alias: Jani
in ""Cold Meat""|Woman whom Ishwar Singh rapes - Unnamed Alias: None
in ""Cold Meat"""
426,178|177,"Kaur - Kulwant Alias: Jani
in ""Cold Meat""|Singh - Ishwar Alias: Jani
in ""Cold Meat"""
427,177|179,"Singh - Ishwar Alias: Jani
in ""Cold Meat""|Woman whom Ishwar Singh rapes - Unnamed Alias: None
in ""Cold Meat"""
428,178|177,"Kaur - Kulwant Alias: Jani
in ""Cold Meat""|Singh - Ishwar Alias: Jani
in ""Cold Meat"""
442,341|445|536|555,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Committee Member - Sardar Sahib Alias: None
in ""Lajwanti""|Lawyer - Kalka Prashad Alias: None
in ""Lajwanti""|Singh - Hukum Alias: Petitioner of Chauki Kalan
in ""Lajwanti"""
468,343,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti"""
471,341|344|474,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Committee Member - Rasalu Alias: None
in ""Lajwanti""|Pleader - Neki Ram Alias: None
in ""Lajwanti"""
476,341,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
477,341|343,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti"""
478,343,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti"""
479,341|343,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti"""
480,481|343,"Village women - Unknown Alias: None
in ""Lajwanti""|Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti"""
482,341|343|483|484,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti""|Lajwanti's sister - Unknown Alias: None
in ""Lajwanti""|Lajwanti's brother-in-law - Unknown Alias: None
in ""Lajwanti"""
485,341,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
486,383,"Visitors from Lahore - Unnamed Alias: None
in ""The Owner of Rubble"""
488,341,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
489,341,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
490,383|364|371,"Visitors from Lahore - Unnamed Alias: None
in ""The Owner of Rubble""|Part of group that travelled from Lahore - Fatehdina Alias: None
in ""The Owner of Rubble""|Part of group that travelled from Lahore - Khan Sahib Alias: None
in ""The Owner of Rubble"""
491,383,"Visitors from Lahore - Unnamed Alias: None
in ""The Owner of Rubble"""
492,341|493|494,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Women safely returned from Pakistan - Unknown Alias: None
in ""Lajwanti""|Processionists - Unknown Alias: None
in ""Lajwanti"""
495,496,"Sarabhai - Mridula Alias: None
in ""Lajwanti"""
497,383,"Visitors from Lahore - Unnamed Alias: None
in ""The Owner of Rubble"""
498,383,"Visitors from Lahore - Unnamed Alias: None
in ""The Owner of Rubble"""
499,383|380,"Visitors from Lahore - Unnamed Alias: None
in ""The Owner of Rubble""|Citizens of Amritsar - Unnamed Alias: None
in ""The Owner of Rubble"""
501,2388,"Lower-class muslims - Unnamed Alias: None
in ""The Owner of Rubble"""
503,505|506,"Relatives of abducted women - Unknown Alias: None
in ""Lajwanti""|Rescued women - Unknown Alias: None
in ""Lajwanti"""
507,344|474|341,"Committee Member - Rasalu Alias: None
in ""Lajwanti""|Pleader - Neki Ram Alias: None
in ""Lajwanti""|Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
508,505|506,"Relatives of abducted women - Unknown Alias: None
in ""Lajwanti""|Rescued women - Unknown Alias: None
in ""Lajwanti"""
509,380,"Citizens of Amritsar - Unnamed Alias: None
in ""The Owner of Rubble"""
510,380,"Citizens of Amritsar - Unnamed Alias: None
in ""The Owner of Rubble"""
511,376,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble"""
512,376|385,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble""|Son of Ramdasi - Unnamed Alias: None
in ""The Owner of Rubble"""
513,376|385|386,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble""|Son of Ramdasi - Unnamed Alias: None
in ""The Owner of Rubble""|Daughter of Ramdasi - Unnamed Alias: None
in ""The Owner of Rubble"""
514,376,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble"""
515,376|387,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble""|Chiragdin's tailoring customer - Manori Alias: None
in ""The Owner of Rubble"""
518,376|390|394|396|393,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble""|Gani - Chiragdin Alias: Chirag
in ""The Owner of Rubble""|Gani - Kishwar Alias: None
in ""The Owner of Rubble""|Gani - Sultana Alias: None
in ""The Owner of Rubble""|Gani - Zubaida Alias: None
in ""The Owner of Rubble"""
520,522,"Women who killed themselves - Unknown Alias: None
in ""Lajwanti"""
521,376|387,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble""|Chiragdin's tailoring customer - Manori Alias: None
in ""The Owner of Rubble"""
523,505|525|526|528|339,"Relatives of abducted women - Unknown Alias: None
in ""Lajwanti""|Rescued woman - Suhagwati Alias: None
in ""Lajwanti""|Unacknowledged rescued woman - Unknown Alias: None
in ""Lajwanti""|Brother of unacknowledged rescued woman - Bihari Alias: None
in ""Lajwanti""|Priest - Narain Baba Alias: None
in ""Lajwanti"""
524,376,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble"""
529,341|506,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Rescued women - Unknown Alias: None
in ""Lajwanti"""
530,376|387,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble""|Chiragdin's tailoring customer - Manori Alias: None
in ""The Owner of Rubble"""
531,341|344|474|536,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Committee Member - Rasalu Alias: None
in ""Lajwanti""|Pleader - Neki Ram Alias: None
in ""Lajwanti""|Lawyer - Kalka Prashad Alias: None
in ""Lajwanti"""
532,533,"Residents of Abdul Gani's Lane - Unnamed Alias: None
in ""The Owner of Rubble"""
537,341|339|494|552,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Priest - Narain Baba Alias: None
in ""Lajwanti""|Processionists - Unknown Alias: None
in ""Lajwanti""|Narain Baba's devotees - Unknown Alias: None
in ""Lajwanti"""
539,533|2394|2395,"Residents of Abdul Gani's Lane - Unnamed Alias: None
in ""The Owner of Rubble""|Women of Abdul Gani's lane - Unnamed Alias: None
in ""The Owner of Rubble""|Children of Abdul Gani's lane - Unnamed Alias: None
in ""The Owner of Rubble"""
547,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
553,341|536|555,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Lawyer - Kalka Prashad Alias: None
in ""Lajwanti""|Singh - Hukum Alias: Petitioner of Chauki Kalan
in ""Lajwanti"""
556,341|558|344,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Sunderlal's acquaintance - Lal Chand Alias: None
in ""Lajwanti""|Committee Member - Rasalu Alias: None
in ""Lajwanti"""
559,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
560,59|67,"Narrator - Unnamed Alias: None
in ""Separated from the Flock""|Ali - Gulam Alias: None
in ""Separated from the Flock"""
561,343|341,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti""|Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
562,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
563,341,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
569,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
570,558|343|573,"Sunderlal's acquaintance - Lal Chand Alias: None
in ""Lajwanti""|Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti""|Border policemen - Unknown Alias: None
in ""Lajwanti"""
572,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
574,387|376,"Chiragdin's tailoring customer - Manori Alias: None
in ""The Owner of Rubble""|Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble"""
575,558|341|344|474,"Sunderlal's acquaintance - Lal Chand Alias: None
in ""Lajwanti""|Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Committee Member - Rasalu Alias: None
in ""Lajwanti""|Pleader - Neki Ram Alias: None
in ""Lajwanti"""
576,580,"Rioter who set fire to Abdul Gani's House - Unnamed Alias: None
in ""The Owner of Rubble"""
577,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
581,341,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
582,376,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble"""
583,341,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
584,343|341,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti""|Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
585,74,"A farmer, field near the India-Pakistan border - Prabhdayal Alias: Lala Ji
in ""The Border"""
586,533,"Residents of Abdul Gani's Lane - Unnamed Alias: None
in ""The Owner of Rubble"""
587,390|391|393|394|396,"Gani - Chiragdin Alias: Chirag
in ""The Owner of Rubble""|Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble""|Gani - Zubaida Alias: None
in ""The Owner of Rubble""|Gani - Kishwar Alias: None
in ""The Owner of Rubble""|Gani - Sultana Alias: None
in ""The Owner of Rubble"""
588,390|391|393|394|396|2391,"Gani - Chiragdin Alias: Chirag
in ""The Owner of Rubble""|Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble""|Gani - Zubaida Alias: None
in ""The Owner of Rubble""|Gani - Kishwar Alias: None
in ""The Owner of Rubble""|Gani - Sultana Alias: None
in ""The Owner of Rubble""|One of Rakkha's disciples - Unnamed Alias: None
in ""The Owner of Rubble"""
589,343,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti"""
591,343|341,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti""|Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
592,343|341|344|474|536,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti""|Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Committee Member - Rasalu Alias: None
in ""Lajwanti""|Pleader - Neki Ram Alias: None
in ""Lajwanti""|Lawyer - Kalka Prashad Alias: None
in ""Lajwanti"""
593,533,"Residents of Abdul Gani's Lane - Unnamed Alias: None
in ""The Owner of Rubble"""
595,393|394|396,"Gani - Zubaida Alias: None
in ""The Owner of Rubble""|Gani - Kishwar Alias: None
in ""The Owner of Rubble""|Gani - Sultana Alias: None
in ""The Owner of Rubble"""
596,343|341,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti""|Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
597,599,"Rioters who looted Abdul Gani's House - Unnamed Alias: None
in ""The Owner of Rubble"""
600,343|341,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti""|Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
601,580,"Rioter who set fire to Abdul Gani's House - Unnamed Alias: None
in ""The Owner of Rubble"""
602,341|343,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti"""
603,533|391,"Residents of Abdul Gani's Lane - Unnamed Alias: None
in ""The Owner of Rubble""|Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble"""
604,343|341,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti""|Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
605,341|343,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti"""
606,376|533,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble""|Residents of Abdul Gani's Lane - Unnamed Alias: None
in ""The Owner of Rubble"""
607,391|397,"Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble""|Disciple of Rakkha - Laccha Alias: Laccha Pahlwan
in ""The Owner of Rubble"""
608,343|341,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti""|Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
609,397|387|376,"Disciple of Rakkha - Laccha Alias: Laccha Pahlwan
in ""The Owner of Rubble""|Chiragdin's tailoring customer - Manori Alias: None
in ""The Owner of Rubble""|Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble"""
610,343|341,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti""|Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
611,376|391,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble""|Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble"""
612,341|343,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti"""
613,343|341,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti""|Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti"""
614,533,"Residents of Abdul Gani's Lane - Unnamed Alias: None
in ""The Owner of Rubble"""
615,343,"Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti"""
616,376|391|397,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble""|Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble""|Disciple of Rakkha - Laccha Alias: Laccha Pahlwan
in ""The Owner of Rubble"""
617,341|343,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti"""
618,341|343,"Lajwanti's husband - Sunderlal Alias: None
in ""Lajwanti""|Wife of Sunderlal - Lajwanti Alias: Lajo,Devi
in ""Lajwanti"""
619,376|390,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble""|Gani - Chiragdin Alias: Chirag
in ""The Owner of Rubble"""
620,376|391,"Gani - Abdul Alias: Gani Miyan
in ""The Owner of Rubble""|Shah - Rakkhey Alias: Rakkha,Rakkha Pahlwan
in ""The Owner of Rubble"""
